id,ort,strecke,start_lat,start_lon,ziel_lat,ziel_lon,standard_zeit,8_uhr,8_uhr_stau,9_uhr,9_uhr_stau,10_uhr,10_uhr_stau,11_uhr,11_uhr_stau,12_uhr,12_uhr_stau,13_uhr,13_uhr_stau,14_uhr,14_uhr_stau,15_uhr,15_uhr_stau,16_uhr,16_uhr_stau,17_uhr,17_uhr_stau
33,Friedensbrücke,Luitpoldstraße - Dreikronenstraße,49.797329,9.918322,49.796548,9.923063,74,106,32,91,17,91,17,95,21,91,17,106,32,98,24,104,30,105,31,106,32
34,Friedensbrücke,Friedensbrücke - Luitpoldstraße,49.798958,9.923162,49.797719,9.9196,40,43,3,38,-2,37,-3,39,-1,43,3,44,4,43,3,43,3,44,4,44,4
35,Friedensbrücke,Luitpoldstraße - Friedensbrücke,49.797329,9.918322,49.798694,9.922607,56,87,31,70,14,67,11,75,19,73,17,82,26,79,23,82,26,83,27,84,28
36,Friedensbrücke,Friedensbrücke - Mainaustraße,49.798958,9.923162,49.799032,9.920518,42,51,9,44,2,42,0,42,0,46,4,48,6,44,2,47,5,47,5,46,4
37,Friedensbrücke,Mainaustraße - Friedensbrücke,49.800402,9.918724,49.798694,9.922607,100,145,45,98,-2,92,-8,107,7,98,-2,118,18,107,7,110,10,113,13,156,56
38,Friedensbrücke,Luitpoldstraße - Mainaustraße,49.797329,9.918322,49.799032,9.920518,275,356,81,302,27,282,7,281,6,258,-17,297,22,305,30,311,36,309,34,331,56
39,Friedensbrücke,Mainaustraße - Luitpoldstraße,49.800402,9.918724,49.797719,9.9196,89,107,18,86,-3,81,-8,93,4,85,-4,104,15,94,5,97,8,100,11,142,53
40,Brücke d. Deutschen Einheit,Mainaustraße - Brücke d. Deutschen Einheit,49.799672,9.919889,49.801341,9.91922,41,47,6,46,5,40,-1,39,-2,43,2,42,1,41,0,48,7,43,2,49,8
41,Brücke d. Deutschen Einheit,Brücke d. Deutschen Einheit - Mainaustraße,49.802317,9.920445,49.799841,9.919558,64,84,20,60,-4,54,-10,63,-1,62,-2,70,6,68,4,75,11,85,21,105,41
42,Brücke d. Deutschen Einheit,Mainaustraße - Mainaustraße Zellerau,49.799672,9.919889,49.801292,9.917406,43,46,3,46,3,42,-1,44,1,45,2,46,3,44,1,51,8,44,1,48,5
